postal_code,latitude,longitude
95841.0,38.6627,-121.3406
95817.0,38.5498,-121.4583
95828.0,38.4826,-121.4006
93906.0,36.7103,-121.6438
93906.0,36.7103,-121.6438
92275.0,33.3092,-115.9578
92407.0,34.2166,-117.3908
92404.0,34.1426,-117.2606
92407.0,34.2166,-117.3908
92410.0,34.1069,-117.2975
92410.0,34.1069,-117.2975
94066.0,37.6247,-122.429
94066.0,37.6247,-122.429
92673.0,33.4615,-117.6375
92128.0,33.0067,-117.069
92108.0,32.7783,-117.1335
92154.0,32.5753,-117.0707
92105.0,32.7423,-117.0947
92136.0,32.6834,-117.1219
92104.0,32.7454,-117.1272
92123.0,32.7973,-117.1392
92154.0,32.5753,-117.0707
92102.0,32.7139,-117.1219
92110.0,32.7635,-117.2028
92110.0,32.7635,-117.2028
92105.0,32.7423,-117.0947
92111.0,32.7972,-117.1708
92111.0,32.7972,-117.1708
92126.0,32.9161,-117.1402
92126.0,32.9161,-117.1402
91773.0,34.1023,-117.8169
91340.0,34.2875,-118.4352
94103.0,37.7725,-122.4147
91776.0,34.089,-118.0955
92583.0,33.7967,-116.9324
95122.0,37.3293,-121.8339
95125.0,37.296,-121.8939
95110.0,37.3391,-121.9016
95127.0,37.3692,-121.8208
95121.0,37.3042,-121.8099
95111.0,37.2827,-121.8265
95110.0,37.3391,-121.9016
95123.0,37.2458,-121.8306
95123.0,37.2458,-121.8306
95123.0,37.2458,-121.8306
95123.0,37.2458,-121.8306
95134.0,37.4087,-121.9406
92675.0,33.5085,-117.6565
94578.0,37.7024,-122.124
94578.0,37.7024,-122.124
93405.0,35.2901,-120.6817
92069.0,33.1444,-117.1697
92069.0,33.1444,-117.1697
94404.0,37.5538,-122.27
94401.0,37.5735,-122.3225
94806.0,37.9724,-122.3369
90731.0,33.7339,-118.2914
90731.0,33.7339,-118.2914
94901.0,37.9691,-122.5105
94583.0,37.7562,-121.9522
92701.0,33.7523,-117.8541
92706.0,33.7691,-117.8855
92705.0,33.754,-117.7919
92703.0,33.7489,-117.9072
92705.0,33.754,-117.7919
92704.0,33.7249,-117.909
92704.0,33.7249,-117.909
92704.0,33.7249,-117.909
92703.0,33.7489,-117.9072
92706.0,33.7691,-117.8855
95050.0,37.3492,-121.953
91387.0,34.4132,-118.426
91350.0,34.4336,-118.5007
93454.0,34.9545,-120.4325
90405.0,34.01,-118.4717
95404.0,38.4405,-122.7144
95401.0,38.4432,-122.7547
90740.0,33.7602,-118.0808
91411.0,34.1781,-118.4574
90807.0,33.8315,-118.1811
93065.0,34.2656,-118.7653
93063.0,34.3046,-118.6844
93065.0,34.2656,-118.7653
90280.0,33.9462,-118.2013
90280.0,33.9462,-118.2013
96150.0,38.917,-119.9865
94080.0,37.6574,-122.4235
91977.0,32.724,-116.9976
91977.0,32.724,-116.9976
90680.0,33.7991,-117.9956
95219.0,38.01,-121.3698
95207.0,38.0024,-121.3238
95207.0,38.0024,-121.3238
91040.0,34.2618,-118.3371
